"mrp_id","billno","materialplanid_number","materialplanid_name","materialattr_title","adviseorderqty","bizorderqty","advisestartdate","adviseenddate","startdate","enddate","orderdate","availabledate","closestatus_title","dropbilltype_name","droptime","rootdemandbillno","planoperatenum","createtime","creator_name","status","closestatus_reason"
MRP00001,MRP-202604-0001,PART-FRAME-HEX-CF,六轴碳纤维机架,外购,260,260,"2026-04-06","2026-04-16","2026-04-07","2026-04-20","2026-04-02","2026-04-22",正常,采购申请,"2026-04-04",MDS-202604-001,MRP-RUN-202604-07,"2026-03-26 00:00:00",PMC-系统,Active,""
MRP00002,MRP-202604-0002,ASSY-FC-RTK,RTK高精度飞控总成,委外,260,247,"2026-04-06","2026-04-22","2026-04-07","2026-04-22","2026-04-01","2026-04-24",已下发,委外订单,"2026-04-04",MDS-202604-001,MRP-RUN-202604-05,"2026-03-25 00:00:00",S&OP-平台,Active,""
MRP00003,MRP-202604-0003,PART-CAM-FPV,FPV图传相机,外购,260,260,"2026-04-04","2026-04-18","2026-04-05","2026-04-24","2026-04-03","2026-04-28",已关闭,采购申请,"2026-04-04",MDS-202604-001,MRP-RUN-202604-02,"2026-03-27 00:00:00",计划专员-王敏,Closed,拆分关闭-分单后关闭
MRP00004,MRP-202604-0004,ASSY-PWR-TQ,高扭矩动力系统总成,自制,260,247,"2026-04-06","2026-04-20","2026-04-07","2026-04-26","2026-04-02","2026-04-28",滚动计划,生产工单,"2026-04-08",MDS-202604-001,MRP-RUN-202604-03,"2026-03-26 00:00:00",PMC-系统,Active,""
MRP00005,MRP-202604-0005,PART-BAT-12S-16000,"12S16000mAh工业电池",外购,520,562,"2026-04-04","2026-04-18","2026-04-06","2026-04-22","2026-04-03","2026-04-24",正常,采购申请,"2026-04-04",MDS-202604-001,MRP-RUN-202604-03,"2026-03-27 00:00:00",S&OP-平台,Active,""
MRP00006,MRP-202604-0006,PART-RC-IND,工业遥控器,外购,260,260,"2026-04-06","2026-04-22","2026-04-07","2026-04-22","2026-04-01","2026-04-24",已下发,采购申请,"2026-04-06",MDS-202604-001,MRP-RUN-202604-01,"2026-03-25 00:00:00",计划专员-王敏,Active,""
MRP00007,MRP-202604-0007,PART-SPRAYER-20L,"20升智能喷洒系统",外购,260,247,"2026-04-05","2026-04-16","2026-04-05","2026-04-20","2026-04-01","2026-04-28",已关闭,采购申请,"2026-04-04",MDS-202604-001,MRP-RUN-202604-02,"2026-03-25 00:00:00",PMC-系统,Closed,""
MRP00008,MRP-202604-0008,PART-RADAR-ALT,雷达测高仪,外购,260,247,"2026-04-05","2026-04-18","2026-04-07","2026-04-24","2026-04-02","2026-04-26",滚动计划,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-08,"2026-03-26 00:00:00",S&OP-平台,Active,""
MRP00009,MRP-202604-0009,COMP-FC-PCB-R1,RTK飞控主板,自制,260,260,"2026-04-04","2026-04-18","2026-04-07","2026-04-24","2026-04-01","2026-04-26",正常,生产工单,"2026-04-04",MDS-202604-001,MRP-RUN-202604-05,"2026-03-25 00:00:00",计划专员-王敏,Active,""
MRP00010,MRP-202604-0010,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,260,281,"2026-04-05","2026-04-18","2026-04-07","2026-04-24","2026-04-03","2026-04-24",已下发,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-04,"2026-03-27 00:00:00",PMC-系统,Active,""
MRP00011,MRP-202604-0011,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,260,260,"2026-04-06","2026-04-20","2026-04-06","2026-04-24","2026-04-02","2026-04-26",已关闭,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-04,"2026-03-26 00:00:00",S&OP-平台,Closed,合并关闭-并单后关闭
MRP00012,MRP-202604-0012,PART-4G-MODULE,"4G通信模块",外购,260,260,"2026-04-04","2026-04-22","2026-04-07","2026-04-22","2026-04-02","2026-04-24",滚动计划,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-08,"2026-03-26 00:00:00",计划专员-王敏,Active,""
MRP00013,MRP-202604-0013,COMP-FC-CASE-AL-IND,工业级铝合金外壳,委外,260,281,"2026-04-04","2026-04-22","2026-04-07","2026-04-24","2026-04-01","2026-04-24",正常,委外订单,"2026-04-04",MDS-202604-001,MRP-RUN-202604-09,"2026-03-25 00:00:00",PMC-系统,Active,""
MRP00014,MRP-202604-0014,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",外购,1560,1482,"2026-04-04","2026-04-16","2026-04-06","2026-04-22","2026-04-02","2026-04-24",已下发,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-03,"2026-03-26 00:00:00",S&OP-平台,Active,""
MRP00015,MRP-202604-0015,PART-ESC-50A-FOC,"50A FOC电调",外购,1560,1685,"2026-04-04","2026-04-16","2026-04-06","2026-04-22","2026-04-03","2026-04-22",已关闭,采购申请,"2026-04-10",MDS-202604-001,MRP-RUN-202604-02,"2026-03-27 00:00:00",计划专员-王敏,Closed,合并关闭-并单后关闭
