"purchase_order_id","purchase_order_number","document_date","supplier_id","supplier_name","material_id","material_code","material_name","purchase_quantity","unit_price_tax","tax_rate","document_status","required_date","planned_arrival_date","accumulated_arrival_tax","accumulated_storage_tax","payment_terms","buyer","created_date","status","srcbillid","srcbillentryid"
POID-000001,PO-202604-0001,"2026-04-02",SUP-001,芯源微电子股份有限公司,M0108,PART-MCU-STM32H753,STM32H753双核芯片,281.0,393.07,0.13,下达,"2026-04-09","2026-04-12",0.0,0.0,月结30天,李航,"2026-04-02",执行中,PRID-000002,PRID-000002-1
POID-000002,PO-202604-0002,"2026-04-03",SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,988.0,782.89,0.13,已审核,"2026-04-10","2026-04-13",0.0,0.0,款到发货,周宁,"2026-04-03",有效,PRID-000005,PRID-000005-1
POID-000003,PO-202604-0003,"2026-04-04",SUP-029,包头稀土高新材料公司,M0121,RAW-NEODYMIUM,钕铁硼磁性材料,70.0,841.77,0.13,已入库,"2026-04-11","2026-04-14",58923.9,0.0,款到发货,陈璐,"2026-04-04",有效,PRID-000006,PRID-000006-1
POID-000004,PO-202604-0004,"2026-04-04",SUP-033,江铜集团铜材公司,M0122,RAW-COPPER-WIRE,铜漆包线,253.0,1992.78,0.13,已入库,"2026-04-11","2026-04-05",251090.28,251090.28,月结30天,李航,"2026-04-04",有效,PRID-000007,PRID-000007-1
POID-000005,PO-202604-0005,"2026-04-03",SUP-031,台积电（TSMC）,M0120,RAW-SI-WAFER-12IN,"12英寸硅晶圆",1.0,836.86,0.13,已入库,"2026-04-10","2026-04-13",836.86,0.0,月结60天,周宁,"2026-04-03",有效,PRID-000009,PRID-000009-1
POID-000006,PO-202604-0006,"2026-04-04",SUP-010,生益科技股份有限公司,M0125,RAW-FR4-CCL,FR4覆铜板,22.0,2450.61,0.13,已入库,"2026-04-11","2026-04-14",53913.42,26956.71,款到发货,陈璐,"2026-04-04",有效,PRID-000010,PRID-000010-1
POID-000007,PO-202605-0007,"2026-05-03",SUP-025,东莞碳纤维复合材料厂,M0033,PART-FRAME-HEX-CF,六轴碳纤维机架,460.0,884.67,0.13,已入库,"2026-05-10","2026-05-13",0.0,0.0,款到发货,李航,"2026-05-03",有效,PRID-000011,PRID-000011-1
POID-000008,PO-202605-0008,"2026-05-02",SUP-002,德州仪器（TI）中国代理,M0021,ASSY-FC-RTK,RTK高精度飞控总成,437.0,3450.45,0.13,已审核,"2026-05-09","2026-05-12",0.0,0.0,款到发货,周宁,"2026-05-02",有效,PRID-000012,PRID-000012-1
POID-000009,PO-202605-0009,"2026-05-03",SUP-011,T-Motor无刷电机有限公司,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,460.0,1643.68,0.13,已入库,"2026-05-10","2026-05-13",532552.32,0.0,款到发货,陈璐,"2026-05-03",有效,PRID-000014,PRID-000014-1
POID-000010,PO-202605-0010,"2026-05-02",SUP-038,深圳农业喷洒系统公司,M0035,PART-SPRAYER-20L,"20升智能喷洒系统",497.0,2993.27,0.13,已入库,"2026-05-09","2026-05-12",1487655.19,1487655.19,月结30天,李航,"2026-05-02",执行中,PRID-000017,PRID-000017-1
POID-000011,PO-202605-0011,"2026-05-04",SUP-039,常州雷达测高仪制造厂,M0027,PART-RADAR-ALT,雷达测高仪,437.0,257.61,0.13,已入库,"2026-05-11","2026-05-14",0.0,0.0,"预付50%,货到付清",周宁,"2026-05-04",有效,PRID-000018,PRID-000018-1
POID-000012,PO-202605-0012,"2026-05-02",SUP-009,深圳华强PCB制造厂,M0072,COMP-FC-PCB-R1,RTK飞控主板,460.0,2145.86,0.13,已审核,"2026-05-09","2026-05-12",0.0,0.0,月结30天,陈璐,"2026-05-02",有效,PRID-000019,PRID-000019-1
POID-000013,PO-202605-0013,"2026-05-04",SUP-004,博世传感器技术有限公司,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,460.0,1344.27,0.13,已入库,"2026-05-11","2026-05-14",618364.2,0.0,月结30天,李航,"2026-05-04",有效,PRID-000020,PRID-000020-1
POID-000014,PO-202605-0014,"2026-05-04",SUP-044,移远通信股份有限公司,M0075,PART-4G-MODULE,"4G通信模块",437.0,677.4,0.13,已入库,"2026-05-11","2026-05-14",0.0,0.0,月结30天,周宁,"2026-05-04",有效,PRID-000022,PRID-000022-1
POID-000015,PO-202605-0015,"2026-05-02",SUP-027,深圳铝合金精密加工厂,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,460.0,1537.51,0.13,已审核,"2026-05-09","2026-05-12",0.0,0.0,"预付50%,货到付清",陈璐,"2026-05-02",有效,PRID-000023,PRID-000023-1
POID-000016,PO-202605-0016,"2026-05-04",SUP-013,美国Castle电调公司,M0086,PART-ESC-50A-FOC,"50A FOC电调",2760.0,3336.05,0.13,已审核,"2026-05-11","2026-05-14",0.0,0.0,月结30天,李航,"2026-05-04",有效,PRID-000025,PRID-000025-1
POID-000017,PO-202605-0017,"2026-05-04",SUP-015,深圳碳纤维螺旋桨制造厂,M0087,PART-PROP-1755-CF,"1755碳纤维螺旋桨",2622.0,736.72,0.13,已入库,"2026-05-11","2026-05-14",0.0,0.0,月结30天,周宁,"2026-05-04",有效,PRID-000026,PRID-000026-1
POID-000018,PO-202605-0018,"2026-05-02",SUP-014,好盈电子科技有限公司,M0088,PART-CABLE-ESC-HD,加强型电调线,2622.0,1099.43,0.13,已审核,"2026-05-09","2026-05-12",0.0,0.0,月结30天,陈璐,"2026-05-02",有效,PRID-000027,PRID-000027-1
POID-000019,PO-202605-0019,"2026-05-04",SUP-003,意法半导体（ST）亚太区,M0108,PART-MCU-STM32H753,STM32H753双核芯片,437.0,393.07,0.13,部分到货,"2026-05-11","2026-05-14",114776.44,57781.29,月结30天,李航,"2026-05-04",执行中,PRID-000029,PRID-000029-1
POID-000020,PO-202605-0020,"2026-05-03",SUP-001,芯源微电子股份有限公司,M0110,PART-FPGA-ICE40,ICE40 FPGA,437.0,1483.26,0.13,部分到货,"2026-05-10","2026-05-13",259570.5,0.0,"预付30%,货到付清",周宁,"2026-05-03",有效,PRID-000031,PRID-000031-1
POID-000021,PO-202605-0021,"2026-05-03",SUP-042,深圳线缆连接器公司,M0111,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,1748.0,782.89,0.13,部分到货,"2026-05-10","2026-05-13",475997.12,475997.12,款到发货,陈璐,"2026-05-03",有效,PRID-000032,PRID-000032-1
POID-000022,PO-202605-0022,"2026-05-03",SUP-033,江铜集团铜材公司,M0122,RAW-COPPER-WIRE,铜漆包线,414.0,1992.78,0.13,已入库,"2026-05-10","2026-05-13",0.0,0.0,月结30天,李航,"2026-05-03",有效,PRID-000034,PRID-000034-1
POID-000023,PO-202605-0023,"2026-05-02",SUP-027,深圳铝合金精密加工厂,M0123,RAW-AL-ALLOY,铝合金材料,690.0,1730.06,0.13,已审核,"2026-05-09","2026-05-12",0.0,0.0,款到发货,周宁,"2026-05-02",有效,PRID-000035,PRID-000035-1
POID-000024,PO-202605-0024,"2026-05-04",SUP-032,中芯国际（SMIC）,M0120,RAW-SI-WAFER-12IN,"12英寸硅晶圆",1.0,836.86,0.13,已入库,"2026-05-11","2026-05-14",836.86,0.0,月结60天,陈璐,"2026-05-04",有效,PRID-000036,PRID-000036-1
POID-000025,PO-202605-0025,"2026-05-04",SUP-010,生益科技股份有限公司,M0125,RAW-FR4-CCL,FR4覆铜板,40.0,2450.61,0.13,部分到货,"2026-05-11","2026-05-14",34308.54,34308.54,款到发货,李航,"2026-05-04",有效,PRID-000037,PRID-000037-1
POID-000026,PO-202604-0026,"2026-04-03",SUP-026,中航复合材料有限公司,M0036,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,260.0,1185.04,0.13,已入库,"2026-04-10","2026-04-13",292704.88,292704.88,月结45天,周宁,"2026-04-03",有效,PRID-000038,PRID-000038-1
POID-000027,PO-202604-0027,"2026-04-04",SUP-002,德州仪器（TI）中国代理,M0021,ASSY-FC-RTK,RTK高精度飞控总成,247.0,3450.45,0.13,已入库,"2026-04-11","2026-04-14",0.0,0.0,款到发货,陈璐,"2026-04-04",有效,PRID-000039,PRID-000039-1
