"material_requisition_id","requisition_number","requisition_type","material_id","material_code","material_name","warehouse_id","factory_id","requested_quantity","issued_quantity","unit","requisition_date","issue_date","production_order_number","purpose","status","created_date"
MR-ASSY-0001,REQ-MO202305001-P0001-10,半成品领取,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH001,FAC001,1127.0,1127.0,套,"2026-03-31","2026-04-02",MO-202305001,组装P0001,已发料,"2026-03-30"
MR-ASSY-0002,REQ-MO202305001-P0001-20,半成品领取,M0002,ASSY-FC-BASIC,基础飞控总成,WH001,FAC001,1127.0,1127.0,套,"2026-03-31","2026-04-02",MO-202305001,组装P0001,已发料,"2026-03-30"
MR-ASSY-0003,REQ-MO202305001-P0001-30,零件领取,M0003,PART-CAM-FIX-12MP,"1200万像素固定相机",WH003,FAC001,1127.0,1127.0,个,"2026-03-31","2026-04-02",MO-202305001,组装P0001,已发料,"2026-03-30"
MR-ASSY-0004,REQ-MO202305001-P0001-40,半成品领取,M0004,ASSY-PWR-STD,标准动力系统总成,WH001,FAC001,1127.0,1127.0,套,"2026-03-31","2026-04-02",MO-202305001,组装P0001,已发料,"2026-03-30"
MR-ASSY-0005,REQ-MO202305001-P0001-50,零件领取,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,WH003,FAC001,1127.0,1127.0,块,"2026-03-31","2026-04-02",MO-202305001,组装P0001,已发料,"2026-03-30"
MR-ASSY-0006,REQ-MO202305001-P0001-60,零件领取,M0006,PART-RC-BASIC,基础遥控器,WH003,FAC001,1127.0,1127.0,个,"2026-03-31","2026-04-02",MO-202305001,组装P0001,已发料,"2026-03-30"
MR-ASSY-0007,REQ-MO202305002-P0002-10,半成品领取,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH001,FAC001,1179.0,1179.0,套,"2026-03-31","2026-04-02",MO-202305002,组装P0002,已发料,"2026-03-30"
MR-ASSY-0008,REQ-MO202305002-P0002-20,半成品领取,M0002,ASSY-FC-BASIC,基础飞控总成,WH001,FAC001,1179.0,1179.0,套,"2026-03-31","2026-04-02",MO-202305002,组装P0002,已发料,"2026-03-30"
MR-ASSY-0009,REQ-MO202305002-P0002-30,零件领取,M0007,PART-CAM-FIX-20MP,"2000万像素固定相机",WH003,FAC001,1179.0,1179.0,个,"2026-03-31","2026-04-02",MO-202305002,组装P0002,已发料,"2026-03-30"
MR-ASSY-0010,REQ-MO202305002-P0002-40,半成品领取,M0004,ASSY-PWR-STD,标准动力系统总成,WH001,FAC001,1179.0,1179.0,套,"2026-03-31","2026-04-02",MO-202305002,组装P0002,已发料,"2026-03-30"
MR-ASSY-0011,REQ-MO202305002-P0002-50,零件领取,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,FAC001,1179.0,1179.0,块,"2026-03-31","2026-04-02",MO-202305002,组装P0002,已发料,"2026-03-30"
MR-ASSY-0012,REQ-MO202305002-P0002-60,零件领取,M0009,PART-RC-ADV,高级遥控器,WH003,FAC001,1179.0,1179.0,个,"2026-03-31","2026-04-02",MO-202305002,组装P0002,已发料,"2026-03-30"
MR-ASSY-0013,REQ-MO202305003-P0003-10,半成品领取,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,FAC001,457.0,457.0,套,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0014,REQ-MO202305003-P0003-20,半成品领取,M0011,ASSY-FC-ADV,高级飞控总成,WH001,FAC001,457.0,457.0,套,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0015,REQ-MO202305003-P0003-30,零件领取,M0012,PART-CAM-GIMBAL-1INCH,"1英寸三轴云台相机",WH003,FAC001,457.0,457.0,套,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0016,REQ-MO202305003-P0003-40,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,457.0,457.0,套,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0017,REQ-MO202305003-P0003-50,零件领取,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,FAC001,457.0,457.0,块,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0018,REQ-MO202305003-P0003-60,零件领取,M0015,PART-RC-PRO,专业遥控器,WH003,FAC001,457.0,457.0,个,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0019,REQ-MO202305003-P0003-70,零件领取,M0016,PART-AVOID-VISION,视觉避障系统,WH003,FAC001,457.0,457.0,套,"2026-03-31","2026-04-02",MO-202305003,组装P0003,已发料,"2026-03-30"
MR-ASSY-0020,REQ-WH005-001,原材料领取,M0052,RAW-LIPO-CELL,锂聚合物电芯,WH005,FAC003,120.0,120.0,件,"2026-03-28","2026-03-29",MO-202604-0085,生产RTK高精度飞控总成领料,已发料,"2026-03-28"
MR-ASSY-0021,REQ-WH005-002,原材料领取,M0039,RAW-CF-TUBE-16MM,"16mm碳纤维管",WH005,FAC004,107.0,0.0,件,"2026-03-28","",MO-202604-0086,生产高扭矩动力系统总成领料,待发料,"2026-03-28"
MR-ASSY-0022,REQ-WH005-003,原材料领取,M0039,RAW-CF-TUBE-16MM,"16mm碳纤维管",WH005,FAC003,76.0,76.0,件,"2026-03-28","2026-03-29",MO-202604-0089,生产RTK高精度飞控总成领料,已发料,"2026-03-28"
MR-ASSY-0023,REQ-WH005-004,原材料领取,M0052,RAW-LIPO-CELL,锂聚合物电芯,WH005,FAC003,189.0,0.0,件,"2026-03-28","",MO-202605-0090,生产RTK高精度飞控总成领料,待发料,"2026-03-28"
MR-AUTO-0001,REQ-MO-202305004-01,半成品领取,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,FAC001,426.0,426.0,套,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0002,REQ-MO-202305004-02,半成品领取,M0011,ASSY-FC-ADV,高级飞控总成,WH001,FAC001,426.0,426.0,套,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0003,REQ-MO-202305004-03,半成品领取,M0017,PART-CAM-ZOOM,变焦相机模组,WH001,FAC001,426.0,426.0,套,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0004,REQ-MO-202305004-04,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,426.0,426.0,套,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0005,REQ-MO-202305004-05,半成品领取,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH001,FAC001,426.0,426.0,块,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0006,REQ-MO-202305004-06,半成品领取,M0015,PART-RC-PRO,专业遥控器,WH001,FAC001,426.0,426.0,个,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0007,REQ-MO-202305004-07,半成品领取,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH001,FAC001,426.0,426.0,套,"2026-03-31","2026-04-02",MO-202305004,生产UAV-XF-PRO-B,已发料,"2026-03-30"
MR-AUTO-0008,REQ-MO-202305005-01,半成品领取,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,FAC001,551.0,551.0,套,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0009,REQ-MO-202305005-02,半成品领取,M0011,ASSY-FC-ADV,高级飞控总成,WH001,FAC001,551.0,551.0,套,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0010,REQ-MO-202305005-03,半成品领取,M0019,VIRT-CAM-SEL,相机配置选择件,WH001,FAC001,551.0,551.0,套,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0011,REQ-MO-202305005-04,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,551.0,551.0,套,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0012,REQ-MO-202305005-05,半成品领取,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH001,FAC001,551.0,551.0,块,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0013,REQ-MO-202305005-06,半成品领取,M0015,PART-RC-PRO,专业遥控器,WH001,FAC001,551.0,551.0,个,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0014,REQ-MO-202305005-07,半成品领取,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH001,FAC001,551.0,551.0,套,"2026-03-31","2026-04-02",MO-202305005,生产UAV-XF-PRO-C,已发料,"2026-03-30"
MR-AUTO-0015,REQ-MO-202305006-01,半成品领取,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0016,REQ-MO-202305006-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0017,REQ-MO-202305006-03,半成品领取,M0022,PART-CAM-FPV,FPV图传相机,WH001,FAC001,83.0,83.0,个,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0018,REQ-MO-202305006-04,半成品领取,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0019,REQ-MO-202305006-05,半成品领取,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0020,REQ-MO-202305006-06,半成品领取,M0025,PART-RC-IND,工业遥控器,WH001,FAC001,83.0,83.0,个,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0021,REQ-MO-202305006-07,半成品领取,M0026,PART-SPRAYER-16L,"16升智能喷洒系统",WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0022,REQ-MO-202305006-08,半成品领取,M0027,PART-RADAR-ALT,雷达测高仪,WH001,FAC001,83.0,83.0,个,"2026-03-31","2026-04-02",MO-202305006,生产极风农业版整机,已发料,"2026-03-30"
MR-AUTO-0023,REQ-MO-202305007-01,半成品领取,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,FAC001,109.0,109.0,套,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0024,REQ-MO-202305007-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,109.0,109.0,套,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0025,REQ-MO-202305007-03,半成品领取,M0028,PART-CAM-SURVEY-42MP,"4200万像素测绘相机",WH001,FAC001,109.0,109.0,套,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0026,REQ-MO-202305007-04,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,109.0,109.0,套,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0027,REQ-MO-202305007-05,半成品领取,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH001,FAC001,109.0,109.0,套,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0028,REQ-MO-202305007-06,半成品领取,M0025,PART-RC-IND,工业遥控器,WH001,FAC001,109.0,109.0,个,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0029,REQ-MO-202305007-07,半成品领取,M0029,PART-LIDAR,激光雷达模块,WH001,FAC001,109.0,109.0,套,"2026-03-31","2026-04-02",MO-202305007,生产UAV-JF-ENT-SV,已发料,"2026-03-30"
MR-AUTO-0030,REQ-MO-202305008-01,半成品领取,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0031,REQ-MO-202305008-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0032,REQ-MO-202305008-03,半成品领取,M0030,PART-CAM-THERMAL,红外热成像相机,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0033,REQ-MO-202305008-04,半成品领取,M0031,PART-CAM-ZOOM-30X,"30倍变焦可见光相机",WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0034,REQ-MO-202305008-05,半成品领取,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0035,REQ-MO-202305008-06,半成品领取,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH001,FAC001,83.0,83.0,套,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0036,REQ-MO-202305008-07,半成品领取,M0025,PART-RC-IND,工业遥控器,WH001,FAC001,83.0,83.0,个,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0037,REQ-MO-202305008-08,半成品领取,M0032,PART-SPOTLIGHT-50W,"50W强光照明灯",WH001,FAC001,83.0,83.0,个,"2026-03-31","2026-04-02",MO-202305008,生产UAV-JF-ENT-SC,已发料,"2026-03-30"
MR-AUTO-0038,REQ-MO-202305009-01,半成品领取,M0033,PART-FRAME-HEX-CF,六轴碳纤维机架,WH001,FAC001,119.0,119.0,套,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0039,REQ-MO-202305009-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,119.0,119.0,套,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0040,REQ-MO-202305009-03,半成品领取,M0022,PART-CAM-FPV,FPV图传相机,WH001,FAC001,119.0,119.0,个,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0041,REQ-MO-202305009-04,半成品领取,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH001,FAC001,119.0,119.0,套,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0042,REQ-MO-202305009-05,半成品领取,M0034,PART-BAT-12S-16000,"12S16000mAh工业电池",WH001,FAC001,238.0,238.0,块,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0043,REQ-MO-202305009-06,半成品领取,M0025,PART-RC-IND,工业遥控器,WH001,FAC001,119.0,119.0,个,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0044,REQ-MO-202305009-07,半成品领取,M0035,PART-SPRAYER-20L,"20升智能喷洒系统",WH001,FAC001,119.0,119.0,套,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0045,REQ-MO-202305009-08,半成品领取,M0027,PART-RADAR-ALT,雷达测高仪,WH001,FAC001,119.0,119.0,个,"2026-03-31","2026-04-02",MO-202305009,生产霸风20L植保无人机,已发料,"2026-03-30"
MR-AUTO-0046,REQ-MO-202305010-01,半成品领取,M0036,PART-FRAME-HEX-CF-HD,六轴重载碳纤维机架,WH001,FAC001,107.0,107.0,套,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0047,REQ-MO-202305010-02,半成品领取,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,FAC001,107.0,107.0,套,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0048,REQ-MO-202305010-03,半成品领取,M0022,PART-CAM-FPV,FPV图传相机,WH001,FAC001,107.0,107.0,个,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0049,REQ-MO-202305010-04,半成品领取,M0037,PART-MOTOR-5010-PRO,"5010重载无刷电机",WH001,FAC001,642.0,642.0,个,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0050,REQ-MO-202305010-05,半成品领取,M0038,PART-ESC-60A,"60A电调",WH001,FAC001,642.0,642.0,个,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0051,REQ-MO-202305010-06,半成品领取,M0039,PART-PROP-3016-CF,"3016碳纤螺旋桨",WH001,FAC001,1284.0,1284.0,片,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0052,REQ-MO-202305010-07,半成品领取,M0040,PART-BAT-12S-22000,"12S22000mAh重载电池",WH001,FAC001,214.0,214.0,块,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0053,REQ-MO-202305010-08,半成品领取,M0025,PART-RC-IND,工业遥控器,WH001,FAC001,107.0,107.0,个,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0054,REQ-MO-202305010-09,半成品领取,M0041,PART-SPRAYER-30L,"30升智能喷洒系统",WH001,FAC001,107.0,107.0,套,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0055,REQ-MO-202305010-10,半成品领取,M0027,PART-RADAR-ALT,雷达测高仪,WH001,FAC001,107.0,107.0,个,"2026-03-31","2026-04-02",MO-202305010,生产霸风30L植保无人机,已发料,"2026-03-30"
MR-AUTO-0056,REQ-MO-202604-0085-01,生产领料,M0072,COMP-FC-PCB-R1,RTK飞控主板,WH004,FAC003,247.0,247.0,块,"2026-04-01","2026-04-03",MO-202604-0085,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0057,REQ-MO-202604-0085-02,生产领料,M0073,PART-IMU-ADIS16505,ADIS16505工业级IMU,WH004,FAC003,247.0,247.0,个,"2026-04-01","2026-04-03",MO-202604-0085,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0058,REQ-MO-202604-0085-03,生产领料,M0074,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,WH004,FAC003,247.0,247.0,个,"2026-04-01","2026-04-03",MO-202604-0085,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0059,REQ-MO-202604-0085-04,生产领料,M0075,PART-4G-MODULE,"4G通信模块",WH004,FAC003,247.0,247.0,个,"2026-04-01","2026-04-03",MO-202604-0085,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0060,REQ-MO-202604-0085-05,生产领料,M0076,COMP-FC-CASE-AL-IND,工业级铝合金外壳,WH004,FAC003,247.0,247.0,套,"2026-04-01","2026-04-03",MO-202604-0085,生产RTK高精度飞控总成,已发料,"2026-03-31"
MR-AUTO-0065,REQ-MO-202605-0087-01,生产领料,M0072,COMP-FC-PCB-R1,RTK飞控主板,WH004,FAC003,483.0,483.0,块,"2026-05-01","2026-05-03",MO-202605-0087,生产RTK高精度飞控总成,已发料,"2026-04-30"
