"inventory_id","snapshot_month","item_id","item_code","warehouse_id","batch_number","quantity","reserved_inventory_qty","earliest_storage_date","max_storage_age","created_date","status"
INVBAL000001,"2025-05",M0024,ASSY-BAT-DUAL,WH005,MFG-202505-00358,165,54,"5/20/2025",0,"5/20/2025",Active
INVBAL000002,"2025-05",M0024,ASSY-BAT-DUAL,WH003,MAT230501-011,102,89,"4/1/2025",0,"5/31/2025",Active
INVBAL000003,"2026-04",M0024,ASSY-BAT-DUAL,WH003,MAT-202604-00223,1521,94,"4/16/2026",0,"4/16/2026",Active
INVBAL000004,"2026-04",M0024,ASSY-BAT-DUAL,WH003,GR-00515,728,53,"4/16/2026",0,"4/16/2026",Active
INVBAL000005,"2026-04",M0024,ASSY-BAT-DUAL,WH003,GR-00560,677,74,"4/16/2026",0,"4/16/2026",Active
INVBAL000006,"2026-04",M0024,ASSY-BAT-DUAL,WH003,GR-00565,1241,91,"4/16/2026",0,"4/16/2026",Active
INVBAL000007,"2026-04",M0010,ASSY-BODY-CF-01,WH002,MAT-202604-00183,1056,91,"4/14/2026",0,"4/14/2026",Active
INVBAL000008,"2026-04",M0010,ASSY-BODY-CF-01,WH002,GR-00552,1895,51,"4/14/2026",0,"4/14/2026",Active
INVBAL000009,"2025-05",M0010,ASSY-BODY-CF-01,WH003,MAT230501-012,107,50,"4/1/2025",0,"5/31/2025",Active
INVBAL000010,"2026-04",M0020,ASSY-BODY-IND-01,WH002,MAT-202604-00238,664,68,"4/14/2026",0,"4/14/2026",Active
INVBAL000011,"2026-04",M0020,ASSY-BODY-IND-01,WH002,MAT-202604-00245,477,76,"4/14/2026",0,"4/14/2026",Active
INVBAL000012,"2026-04",M0020,ASSY-BODY-IND-01,WH002,MAT-202604-00249,836,82,"4/14/2026",0,"4/14/2026",Active
INVBAL000013,"2026-04",M0020,ASSY-BODY-IND-01,WH002,MAT-202604-00252,1039,73,"4/14/2026",0,"4/14/2026",Active
INVBAL000014,"2025-05",M0020,ASSY-BODY-IND-01,WH003,MAT230501-013,62,61,"4/1/2025",0,"5/31/2025",Active
INVBAL000015,"2026-04",M0001,ASSY-BODY-PLA-01,WH002,MAT-202604-00285,913,95,"4/15/2026",0,"4/15/2026",Active
INVBAL000016,"2026-04",M0001,ASSY-BODY-PLA-01,WH002,MAT-202604-00290,927,80,"4/15/2026",0,"4/15/2026",Active
INVBAL000017,"2026-04",M0001,ASSY-BODY-PLA-01,WH002,GR-00568,712,92,"4/15/2026",0,"4/15/2026",Active
INVBAL000018,"2026-04",M0001,ASSY-BODY-PLA-01,WH002,GR-00613,818,88,"4/15/2026",0,"4/15/2026",Active
INVBAL000019,"2025-05",M0001,ASSY-BODY-PLA-01,WH003,MAT230501-014,429,79,"4/1/2025",0,"5/31/2025",Active
INVBAL000020,"2026-04",M0011,ASSY-FC-ADV,WH002,MAT-202604-00205,2148,51,"4/14/2026",0,"4/14/2026",Active
INVBAL000021,"2026-04",M0011,ASSY-FC-ADV,WH002,MAT-202604-00208,1477,74,"4/14/2026",0,"4/14/2026",Active
INVBAL000022,"2025-05",M0011,ASSY-FC-ADV,WH003,MAT230501-015,190,90,"4/1/2025",0,"5/31/2025",Active
INVBAL000023,"2026-04",M0002,ASSY-FC-BASIC,WH002,MAT-202604-00159,1624,52,"4/15/2026",0,"4/15/2026",Active
INVBAL000024,"2026-04",M0002,ASSY-FC-BASIC,WH002,MAT-202604-00177,1605,70,"4/15/2026",0,"4/15/2026",Active
INVBAL000025,"2026-04",M0002,ASSY-FC-BASIC,WH002,MAT-202604-00189,514,86,"4/15/2026",0,"4/15/2026",Active
INVBAL000026,"2025-05",M0002,ASSY-FC-BASIC,WH003,MAT230501-016,175,80,"4/1/2025",0,"5/31/2025",Active
INVBAL000027,"2026-04",M0021,ASSY-FC-RTK,WH002,GR-00489,1849,64,"4/16/2026",0,"4/16/2026",Active
INVBAL000028,"2026-04",M0021,ASSY-FC-RTK,WH002,GR-00493,2554,79,"4/16/2026",0,"4/16/2026",Active
INVBAL000029,"2026-04",M0021,ASSY-FC-RTK,WH005,MFG-202604-00349,247,62,"4/24/2026",0,"4/24/2026",Active
INVBAL000030,"2026-05",M0021,ASSY-FC-RTK,WH005,MFG-202605-00346,483,67,"5/24/2026",0,"5/24/2026",Active
INVBAL000031,"2025-09",M0021,ASSY-FC-RTK,WH004,GR-00679,39,38,"9/29/2025",0,"9/29/2025",Active
INVBAL000032,"2025-10",M0021,ASSY-FC-RTK,WH004,GR-00676,30,29,"10/2/2025",0,"10/2/2025",Active
INVBAL000033,"2025-05",M0021,ASSY-FC-RTK,WH003,MAT230501-017,164,67,"4/1/2025",0,"5/31/2025",Active
INVBAL000034,"2025-09",M0021,ASSY-FC-RTK,WH003,GR-00675,68,67,"9/30/2025",0,"9/30/2025",Active
INVBAL000035,"2025-10",M0021,ASSY-FC-RTK,WH003,GR-00678,119,82,"10/3/2025",0,"10/3/2025",Active
INVBAL000036,"2026-04",M0013,ASSY-PWR-EFF,WH002,MAT-202604-00070,838,64,"4/14/2026",0,"4/14/2026",Active
INVBAL000037,"2026-04",M0013,ASSY-PWR-EFF,WH002,MAT-202604-00087,1190,96,"4/14/2026",0,"4/14/2026",Active
INVBAL000038,"2026-04",M0013,ASSY-PWR-EFF,WH002,GR-00483,1276,60,"4/14/2026",0,"4/14/2026",Active
INVBAL000039,"2026-04",M0013,ASSY-PWR-EFF,WH002,GR-00485,683,78,"4/14/2026",0,"4/14/2026",Active
INVBAL000040,"2025-05",M0013,ASSY-PWR-EFF,WH003,MAT230501-018,121,89,"4/1/2025",0,"5/31/2025",Active
INVBAL000041,"2026-04",M0004,ASSY-PWR-STD,WH002,MAT-202604-00292,1616,56,"4/14/2026",0,"4/14/2026",Active
INVBAL000042,"2026-04",M0004,ASSY-PWR-STD,WH002,GR-00617,1265,82,"4/14/2026",0,"4/14/2026",Active
INVBAL000043,"2025-05",M0004,ASSY-PWR-STD,WH003,MAT230501-019,427,96,"4/1/2025",0,"5/31/2025",Active
INVBAL000044,"2026-04",M0023,ASSY-PWR-TQ,WH002,MAT-202604-00085,2710,62,"4/14/2026",0,"4/14/2026",Active
INVBAL000045,"2026-04",M0023,ASSY-PWR-TQ,WH002,GR-00506,1606,90,"4/14/2026",0,"4/14/2026",Active
INVBAL000046,"2026-04",M0023,ASSY-PWR-TQ,WH002,MAT-202604-00316,410,58,"4/17/2026",0,"4/17/2026",Active
INVBAL000047,"2026-05",M0023,ASSY-PWR-TQ,WH002,GR-00672,324,85,"5/11/2026",0,"5/11/2026",Active
INVBAL000048,"2026-05",M0023,ASSY-PWR-TQ,WH002,MAT-202605-00319,648,70,"5/14/2026",0,"5/14/2026",Active
INVBAL000049,"2026-05",M0023,ASSY-PWR-TQ,WH005,MFG-202605-00347,460,66,"5/24/2026",0,"5/24/2026",Active
INVBAL000050,"2025-05",M0023,ASSY-PWR-TQ,WH003,MAT230501-020,102,91,"4/1/2025",0,"5/31/2025",Active
INVBAL000051,"2026-04",M0049,COMP-ARM-CF-TUBE,WH002,MAT-202604-00127,1632,50,"4/15/2026",0,"4/15/2026",Active
INVBAL000052,"2026-04",M0049,COMP-ARM-CF-TUBE,WH002,MAT-202604-00160,929,85,"4/15/2026",0,"4/15/2026",Active
INVBAL000053,"2026-04",M0049,COMP-ARM-CF-TUBE,WH002,MAT-202604-00168,639,100,"4/15/2026",0,"4/15/2026",Active
INVBAL000054,"2026-04",M0049,COMP-ARM-CF-TUBE,WH002,GR-00520,731,98,"4/15/2026",0,"4/15/2026",Active
INVBAL000055,"2025-05",M0049,COMP-ARM-CF-TUBE,WH003,MAT230501-021,396,87,"4/1/2025",0,"5/31/2025",Active
INVBAL000056,"2026-04",M0055,COMP-ARM-CF-TUBE-HD,WH002,MAT-202604-00154,1120,94,"4/16/2026",0,"4/16/2026",Active
INVBAL000057,"2026-04",M0055,COMP-ARM-CF-TUBE-HD,WH002,MAT-202604-00180,1445,67,"4/16/2026",0,"4/16/2026",Active
INVBAL000058,"2026-04",M0055,COMP-ARM-CF-TUBE-HD,WH002,GR-00523,1643,73,"4/16/2026",0,"4/16/2026",Active
INVBAL000059,"2025-05",M0055,COMP-ARM-CF-TUBE-HD,WH003,MAT230501-022,429,77,"4/1/2025",0,"5/31/2025",Active
INVBAL000060,"2026-04",M0090,COMP-BAT-MANAGER,WH005,MFG-202604-00351,410,100,"4/22/2026",0,"4/22/2026",Active
INVBAL000061,"2025-05",M0090,COMP-BAT-MANAGER,WH003,MAT230501-023,329,60,"4/1/2025",0,"5/31/2025",Active
INVBAL000062,"2026-04",M0090,COMP-BAT-MANAGER,WH003,MAT-202604-00095,987,50,"4/15/2026",0,"4/15/2026",Active
INVBAL000063,"2026-04",M0090,COMP-BAT-MANAGER,WH003,GR-00488,1080,98,"4/15/2026",0,"4/15/2026",Active
INVBAL000064,"2026-04",M0090,COMP-BAT-MANAGER,WH003,GR-00491,691,63,"4/15/2026",0,"4/15/2026",Active
INVBAL000065,"2026-04",M0090,COMP-BAT-MANAGER,WH003,GR-00511,667,69,"4/15/2026",0,"4/15/2026",Active
INVBAL000066,"2025-05",M0091,COMP-BAT-MOUNT,WH003,MAT230501-024,94,93,"4/1/2025",0,"5/31/2025",Active
INVBAL000067,"2026-04",M0091,COMP-BAT-MOUNT,WH003,MAT-202604-00074,927,73,"4/14/2026",0,"4/14/2026",Active
INVBAL000068,"2026-04",M0091,COMP-BAT-MOUNT,WH003,MAT-202604-00106,652,88,"4/14/2026",0,"4/14/2026",Active
INVBAL000069,"2026-04",M0091,COMP-BAT-MOUNT,WH003,GR-00501,842,68,"4/14/2026",0,"4/14/2026",Active
INVBAL000070,"2026-04",M0091,COMP-BAT-MOUNT,WH003,GR-00510,1310,89,"4/14/2026",0,"4/14/2026",Active
INVBAL000071,"2026-04",M0044,COMP-COVER-PLA-DN,WH002,MAT-202604-00134,592,85,"4/15/2026",0,"4/15/2026",Active
INVBAL000072,"2026-04",M0044,COMP-COVER-PLA-DN,WH002,MAT-202604-00181,935,54,"4/15/2026",0,"4/15/2026",Active
INVBAL000073,"2026-04",M0044,COMP-COVER-PLA-DN,WH002,MAT-202604-00182,847,84,"4/15/2026",0,"4/15/2026",Active
INVBAL000074,"2026-04",M0044,COMP-COVER-PLA-DN,WH002,MAT-202604-00225,1045,74,"4/15/2026",0,"4/15/2026",Active
INVBAL000075,"2025-05",M0044,COMP-COVER-PLA-DN,WH003,MAT230501-025,352,75,"4/1/2025",0,"5/31/2025",Active
INVBAL000076,"2026-04",M0043,COMP-COVER-PLA-UP,WH002,MAT-202604-00241,821,76,"4/15/2026",0,"4/15/2026",Active
INVBAL000077,"2026-04",M0043,COMP-COVER-PLA-UP,WH002,MAT-202604-00266,465,97,"4/15/2026",0,"4/15/2026",Active
INVBAL000078,"2026-04",M0043,COMP-COVER-PLA-UP,WH002,GR-00587,416,72,"4/15/2026",0,"4/15/2026",Active
INVBAL000079,"2026-04",M0043,COMP-COVER-PLA-UP,WH002,GR-00589,846,93,"4/15/2026",0,"4/15/2026",Active
INVBAL000080,"2025-05",M0043,COMP-COVER-PLA-UP,WH003,MAT230501-026,266,92,"4/1/2025",0,"5/31/2025",Active
INVBAL000081,"2026-04",M0071,COMP-FC-CASE-AL,WH002,MAT-202604-00221,1438,80,"4/16/2026",0,"4/16/2026",Active
INVBAL000082,"2026-04",M0071,COMP-FC-CASE-AL,WH002,MAT-202604-00230,2831,73,"4/16/2026",0,"4/16/2026",Active
INVBAL000083,"2025-05",M0071,COMP-FC-CASE-AL,WH003,MAT230501-027,66,65,"4/1/2025",0,"5/31/2025",Active
INVBAL000084,"2026-04",M0076,COMP-FC-CASE-AL-IND,WH002,MAT-202604-00199,380,91,"4/15/2026",0,"4/15/2026",Active
INVBAL000085,"2026-04",M0076,COMP-FC-CASE-AL-IND,WH002,MAT-202604-00216,902,82,"4/15/2026",0,"4/15/2026",Active
INVBAL000086,"2026-04",M0076,COMP-FC-CASE-AL-IND,WH002,MAT-202604-00217,749,77,"4/15/2026",0,"4/15/2026",Active
INVBAL000087,"2026-04",M0076,COMP-FC-CASE-AL-IND,WH002,MAT-202604-00227,1241,55,"4/15/2026",0,"4/15/2026",Active
INVBAL000088,"2025-05",M0076,COMP-FC-CASE-AL-IND,WH003,MAT230501-028,65,51,"4/1/2025",0,"5/31/2025",Active
INVBAL000089,"2026-04",M0065,COMP-FC-CASE-PLA,WH002,MAT-202604-00212,1601,75,"4/14/2026",0,"4/14/2026",Active
INVBAL000090,"2026-04",M0065,COMP-FC-CASE-PLA,WH002,GR-00531,1189,72,"4/14/2026",0,"4/14/2026",Active
INVBAL000091,"2026-04",M0065,COMP-FC-CASE-PLA,WH002,GR-00538,826,95,"4/14/2026",0,"4/14/2026",Active
INVBAL000092,"2025-05",M0065,COMP-FC-CASE-PLA,WH003,MAT230501-029,97,93,"4/1/2025",0,"5/31/2025",Active
INVBAL000093,"2026-04",M0066,COMP-FC-PCB-A1,WH002,MAT-202604-00281,831,55,"4/16/2026",0,"4/16/2026",Active
INVBAL000094,"2026-04",M0066,COMP-FC-PCB-A1,WH002,MAT-202604-00296,884,88,"4/16/2026",0,"4/16/2026",Active
INVBAL000095,"2026-04",M0066,COMP-FC-PCB-A1,WH002,GR-00592,1343,51,"4/16/2026",0,"4/16/2026",Active
INVBAL000096,"2025-05",M0066,COMP-FC-PCB-A1,WH003,MAT230501-030,161,69,"4/1/2025",0,"5/31/2025",Active
INVBAL000097,"2026-04",M0060,COMP-FC-PCB-B1,WH002,MAT-202604-00202,664,74,"4/14/2026",0,"4/14/2026",Active
INVBAL000098,"2026-04",M0060,COMP-FC-PCB-B1,WH002,MAT-202604-00204,535,81,"4/14/2026",0,"4/14/2026",Active
INVBAL000099,"2026-04",M0060,COMP-FC-PCB-B1,WH002,MAT-202604-00219,376,94,"4/14/2026",0,"4/14/2026",Active
INVBAL000100,"2026-04",M0060,COMP-FC-PCB-B1,WH002,GR-00562,829,51,"4/14/2026",0,"4/14/2026",Active
INVBAL000101,"2025-05",M0060,COMP-FC-PCB-B1,WH003,MAT230501-031,169,58,"4/1/2025",0,"5/31/2025",Active
INVBAL000102,"2026-04",M0072,COMP-FC-PCB-R1,WH002,MAT-202604-00239,104,73,"4/16/2026",0,"4/16/2026",Active
INVBAL000103,"2026-04",M0072,COMP-FC-PCB-R1,WH002,MAT-202604-00256,708,67,"4/16/2026",0,"4/16/2026",Active
INVBAL000104,"2026-04",M0072,COMP-FC-PCB-R1,WH002,GR-00595,789,75,"4/16/2026",0,"4/16/2026",Active
INVBAL000105,"2026-04",M0072,COMP-FC-PCB-R1,WH002,GR-00601,399,91,"4/16/2026",0,"4/16/2026",Active
INVBAL000106,"2026-05",M0072,COMP-FC-PCB-R1,WH005,MFG-202605-00348,460,80,"5/22/2026",0,"5/22/2026",Active
INVBAL000107,"2025-05",M0072,COMP-FC-PCB-R1,WH003,MAT230501-032,308,66,"4/1/2025",0,"5/31/2025",Active
INVBAL000108,"2026-04",M0048,COMP-FRAME-CF,WH002,MAT-202604-00207,1078,84,"4/16/2026",0,"4/16/2026",Active
INVBAL000109,"2026-04",M0048,COMP-FRAME-CF,WH002,MAT-202604-00218,1082,93,"4/16/2026",0,"4/16/2026",Active
INVBAL000110,"2026-04",M0048,COMP-FRAME-CF,WH002,MAT-202604-00233,984,63,"4/16/2026",0,"4/16/2026",Active
INVBAL000111,"2025-05",M0048,COMP-FRAME-CF,WH003,MAT230501-033,358,63,"4/1/2025",0,"5/31/2025",Active
INVBAL000112,"2026-04",M0054,COMP-FRAME-CF-IND,WH002,MAT-202604-00246,855,97,"4/15/2026",0,"4/15/2026",Active
INVBAL000113,"2026-04",M0054,COMP-FRAME-CF-IND,WH002,MAT-202604-00270,1911,51,"4/15/2026",0,"4/15/2026",Active
INVBAL000114,"2026-04",M0054,COMP-FRAME-CF-IND,WH002,MAT-202604-00302,1470,56,"4/15/2026",0,"4/15/2026",Active
INVBAL000115,"2025-05",M0054,COMP-FRAME-CF-IND,WH003,MAT230501-034,63,62,"4/1/2025",0,"5/31/2025",Active
INVBAL000116,"2026-04",M0042,COMP-FRAME-PLA,WH002,MAT-202604-00274,1372,59,"4/14/2026",0,"4/14/2026",Active
INVBAL000117,"2026-04",M0042,COMP-FRAME-PLA,WH002,MAT-202604-00291,1169,91,"4/14/2026",0,"4/14/2026",Active
INVBAL000118,"2025-05",M0042,COMP-FRAME-PLA,WH003,MAT230501-035,337,89,"4/1/2025",0,"5/31/2025",Active
INVBAL000119,"2026-04",M0057,COMP-LG-AL-IND,WH002,MAT-202604-00086,913,76,"4/14/2026",0,"4/14/2026",Active
INVBAL000120,"2026-04",M0057,COMP-LG-AL-IND,WH002,MAT-202604-00122,1399,82,"4/14/2026",0,"4/14/2026",Active
INVBAL000121,"2026-04",M0057,COMP-LG-AL-IND,WH002,MAT-202604-00132,1399,93,"4/14/2026",0,"4/14/2026",Active
INVBAL000122,"2026-04",M0057,COMP-LG-AL-IND,WH002,GR-00541,723,50,"4/14/2026",0,"4/14/2026",Active
INVBAL000123,"2025-05",M0057,COMP-LG-AL-IND,WH003,MAT230501-036,151,97,"4/1/2025",0,"5/31/2025",Active
INVBAL000124,"2026-04",M0051,COMP-LG-CF,WH002,MAT-202604-00077,771,58,"4/14/2026",0,"4/14/2026",Active
INVBAL000125,"2026-04",M0051,COMP-LG-CF,WH002,MAT-202604-00110,1217,80,"4/14/2026",0,"4/14/2026",Active
INVBAL000126,"2026-04",M0051,COMP-LG-CF,WH002,MAT-202604-00123,1124,62,"4/14/2026",0,"4/14/2026",Active
INVBAL000127,"2025-05",M0051,COMP-LG-CF,WH003,MAT230501-037,416,71,"4/1/2025",0,"5/31/2025",Active
INVBAL000128,"2026-04",M0045,COMP-LG-PLA,WH002,MAT-202604-00146,2186,77,"4/14/2026",0,"4/14/2026",Active
INVBAL000129,"2026-04",M0045,COMP-LG-PLA,WH002,MAT-202604-00167,2178,67,"4/14/2026",0,"4/14/2026",Active
INVBAL000130,"2025-05",M0045,COMP-LG-PLA,WH003,MAT230501-038,382,59,"4/1/2025",0,"5/31/2025",Active
INVBAL000131,"2026-04",M0050,COMP-MOTOR-MOUNT-AL,WH004,GR-00586,2082,89,"4/14/2026",0,"4/14/2026",Active
INVBAL000132,"2026-04",M0050,COMP-MOTOR-MOUNT-AL,WH004,GR-00618,1674,72,"4/14/2026",0,"4/14/2026",Active
INVBAL000133,"2025-05",M0050,COMP-MOTOR-MOUNT-AL,WH003,MAT230501-039,409,63,"4/1/2025",0,"5/31/2025",Active
INVBAL000134,"2026-05",M0056,COMP-MOTOR-MOUNT-AL-HD,WH002,MAT-202605-00307,2400,77,"5/14/2026",0,"5/14/2026",Active
INVBAL000135,"2026-04",M0056,COMP-MOTOR-MOUNT-AL-HD,WH005,MFG-202604-00350,1444,56,"4/26/2026",0,"4/26/2026",Active
INVBAL000136,"2026-04",M0056,COMP-MOTOR-MOUNT-AL-HD,WH004,MAT-202604-00144,1196,65,"4/16/2026",0,"4/16/2026",Active
INVBAL000137,"2026-04",M0056,COMP-MOTOR-MOUNT-AL-HD,WH004,MAT-202604-00171,406,64,"4/16/2026",0,"4/16/2026",Active
INVBAL000138,"2026-04",M0056,COMP-MOTOR-MOUNT-AL-HD,WH004,MAT-202604-00197,868,55,"4/16/2026",0,"4/16/2026",Active
INVBAL000139,"2026-04",M0056,COMP-MOTOR-MOUNT-AL-HD,WH004,GR-00571,1299,83,"4/16/2026",0,"4/16/2026",Active
INVBAL000140,"2025-05",M0056,COMP-MOTOR-MOUNT-AL-HD,WH003,MAT230501-040,329,96,"4/1/2025",0,"5/31/2025",Active
INVBAL000141,"2026-04",M0075,PART-4G-MODULE,WH002,MAT-202604-00215,1459,100,"4/14/2026",0,"4/14/2026",Active
INVBAL000142,"2026-04",M0075,PART-4G-MODULE,WH002,MAT-202604-00222,959,70,"4/14/2026",0,"4/14/2026",Active
