"sales_order_id","sales_order_number","document_date","customer_id","customer_name","line_number","product_id","product_code","product_name","quantity","unit","standard_price","discount_rate","actual_price","subtotal_amount","order_status","document_status","transaction_type","sales_department","salesperson","planned_delivery_date","is_urgent","contract_number","project_name","end_customer","quotation_number","notes","created_date","status"
SO0000001,SO-202303-00001,"2025-03-21","10001",广州绿野农技技术有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,14,台,22999,"4.0%",22079,309107,已发货,已确认,项目销售,销售一部,贾斌,"2025-05-12",否,HT-2023-256,广州绿野农技技术有限公司设备采购项目,广州绿野农技技术有限公司,QT-202303-00001,"","2025-03-21",Active
SO0000002,SO-202303-00001,"2025-03-21","10001",广州绿野农技技术有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,10,台,45999,"6.9%",42825,428251,已发货,已确认,项目销售,销售一部,贾斌,"2025-05-16",否,HT-2023-256,广州绿野农技技术有限公司设备采购项目,广州绿野农技技术有限公司,QT-202303-00001,"","2025-03-21",Active
SO0000003,SO-202303-00001,"2025-03-21","10001",广州绿野农技技术有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,18,台,58999,"7.6%",54515,981271,已发货,已确认,项目销售,销售一部,贾斌,"2025-04-13",否,HT-2023-256,广州绿野农技技术有限公司设备采购项目,广州绿野农技技术有限公司,QT-202303-00001,"","2025-03-21",Active
SO0000004,SO-202304-00002,"2025-04-24","10001",广州绿野农技技术有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,1,台,45999,"0.0%",45999,45999,已发货,已确认,直销,销售一部,曹磊,"2025-06-23",否,"","",广州绿野农技技术有限公司,QT-202304-00574,"","2025-04-24",Active
SO0000005,SO-202405-00003,"2025-05-09","10001",广州绿野农技技术有限公司,10,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,20,台,45999,"9.5%",41629,832582,已发货,已确认,项目销售,销售一部,钱进,"2025-06-30",否,HT-2024-093,"2024年北京市农业项目",广州绿野农技技术有限公司,QT-202405-00003,"","2025-05-09",Active
SO0000006,SO-202405-00003,"2025-05-09","10001",广州绿野农技技术有限公司,20,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,11,台,22999,"4.3%",22010,242110,已发货,已确认,项目销售,销售一部,钱进,"2025-07-04",否,HT-2024-093,"2024年北京市农业项目",广州绿野农技技术有限公司,QT-202405-00003,"","2025-05-09",Active
SO0000007,SO-202405-00003,"2025-05-09","10001",广州绿野农技技术有限公司,30,P0010,UAV-BF-IND-H30,UAV-BF-IND-H30,8,台,58999,"0.0%",58999,471992,已发货,已确认,项目销售,销售一部,钱进,"2025-06-06",否,HT-2024-093,"2024年北京市农业项目",广州绿野农技技术有限公司,QT-202405-00003,"","2025-05-09",Active
SO0000008,SO-202404-00004,"2025-04-30","10002",西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,5,台,22999,"0.0%",22999,114995,已取消,已取消,直销,销售一部,袁琳,"2025-06-28",否,"","",西安沃土植保科技有限公司,QT-202404-00527,"","2025-04-30",Active
SO0000009,SO-202302-00005,"2025-02-27","10002",西安沃土植保科技有限公司,10,P0006,UAV-JF-ENT-AG,UAV-JF-ENT-AG,4,台,22999,"0.0%",22999,91996,已发货,已确认,项目销售,销售一部,周杰,"2025-03-16",否,HT-2023-182,"2023年重庆市农业项目",西安沃土植保科技有限公司,QT-202302-00389,"","2025-02-27",Active
SO0000010,SO-202302-00005,"2025-02-27","10002",西安沃土植保科技有限公司,20,P0009,UAV-BF-IND-H20,UAV-BF-IND-H20,9,台,45999,"0.0%",45999,413991,已发货,已确认,项目销售,销售一部,周杰,"2025-04-19",否,HT-2023-182,"2023年重庆市农业项目",西安沃土植保科技有限公司,QT-202302-00389,"","2025-02-27",Active
