"pr_id","billno","entry_id","material_number","material_name","material_type","qty","unit","biztime","plant","buyer","srcbillid","created_date","status"
PRID-000001,PR-202604-0001,PRID-000001-1,RAW-LIPO-CELL,锂聚合物电芯,外购,593.0,千克,"2026-04-03",P1,李航,MRP-202604-0018,"2026-04-03",已下达
PRID-000002,PR-202604-0002,PRID-000002-1,PART-MCU-STM32H753,STM32H753双核芯片,外购,281.0,颗,"2026-04-01",P2,周宁,MRP-202604-0019,"2026-04-01",已审核
PRID-000003,PR-202604-0003,PRID-000003-1,PART-PCB-FC-8L,"8层飞控PCB板",外购,260.0,块,"2026-04-01",P3,陈璐,MRP-202604-0020,"2026-04-01",已审核
PRID-000004,PR-202604-0004,PRID-000004-1,PART-FPGA-ICE40,ICE40 FPGA,外购,247.0,颗,"2026-04-03",P1,李航,MRP-202604-0021,"2026-04-03",已审核
PRID-000005,PR-202604-0005,PRID-000005-1,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,988.0,个,"2026-04-02",P2,周宁,MRP-202604-0022,"2026-04-02",已审核
PRID-000006,PR-202604-0006,PRID-000006-1,RAW-NEODYMIUM,钕铁硼磁性材料,外购,70.0,千克,"2026-04-03",P3,陈璐,MRP-202604-0023,"2026-04-03",已审核
PRID-000007,PR-202604-0007,PRID-000007-1,RAW-COPPER-WIRE,铜漆包线,外购,253.0,千克,"2026-04-03",P1,李航,MRP-202604-0024,"2026-04-03",已审核
PRID-000008,PR-202604-0008,PRID-000008-1,RAW-AL-ALLOY,铝合金材料,外购,390.0,千克,"2026-04-02",P2,周宁,MRP-202604-0025,"2026-04-02",已下达
PRID-000009,PR-202604-0009,PRID-000009-1,RAW-SI-WAFER-12IN,"12英寸硅晶圆",外购,1.0,片,"2026-04-02",P3,陈璐,MRP-202604-0026,"2026-04-02",已审核
PRID-000010,PR-202604-0010,PRID-000010-1,RAW-FR4-CCL,FR4覆铜板,外购,22.0,平米,"2026-04-03",P1,李航,MRP-202604-0027,"2026-04-03",已审核
PRID-000011,PR-202605-0011,PRID-000011-1,PART-FRAME-HEX-CF,六轴碳纤维机架,外购,460.0,套,"2026-05-02",P2,周宁,MRP-202605-0028,"2026-05-02",已审核
PRID-000012,PR-202605-0012,PRID-000012-1,ASSY-FC-RTK,RTK高精度飞控总成,自制,437.0,套,"2026-05-01",P3,陈璐,MRP-202605-0029,"2026-05-01",已审核
PRID-000013,PR-202605-0013,PRID-000013-1,PART-CAM-FPV,FPV图传相机,外购,497.0,个,"2026-05-01",P1,李航,MRP-202605-0030,"2026-05-01",已审核
PRID-000014,PR-202605-0014,PRID-000014-1,ASSY-PWR-TQ,高扭矩动力系统总成,自制,460.0,套,"2026-05-02",P2,周宁,MRP-202605-0031,"2026-05-02",已审核
PRID-000015,PR-202605-0015,PRID-000015-1,PART-BAT-12S-16000,"12S16000mAh工业电池",外购,920.0,块,"2026-05-03",P3,陈璐,MRP-202605-0032,"2026-05-03",已下达
PRID-000016,PR-202605-0016,PRID-000016-1,PART-RC-IND,工业遥控器,外购,460.0,个,"2026-05-01",P1,李航,MRP-202605-0033,"2026-05-01",已审核
PRID-000017,PR-202605-0017,PRID-000017-1,PART-SPRAYER-20L,"20升智能喷洒系统",外购,497.0,套,"2026-05-01",P2,周宁,MRP-202605-0034,"2026-05-01",已审核
PRID-000018,PR-202605-0018,PRID-000018-1,PART-RADAR-ALT,雷达测高仪,外购,437.0,个,"2026-05-03",P3,陈璐,MRP-202605-0035,"2026-05-03",已审核
PRID-000019,PR-202605-0019,PRID-000019-1,COMP-FC-PCB-R1,RTK飞控主板,自制,460.0,块,"2026-05-01",P1,李航,MRP-202605-0036,"2026-05-01",已审核
PRID-000020,PR-202605-0020,PRID-000020-1,PART-IMU-ADIS16505,ADIS16505工业级IMU,外购,460.0,个,"2026-05-03",P2,周宁,MRP-202605-0037,"2026-05-03",已审核
PRID-000021,PR-202605-0021,PRID-000021-1,PART-GNSS-RTK-F9P,ZED-F9P RTK定位模块,外购,437.0,个,"2026-05-01",P3,陈璐,MRP-202605-0038,"2026-05-01",已审核
PRID-000022,PR-202605-0022,PRID-000022-1,PART-4G-MODULE,"4G通信模块",外购,437.0,个,"2026-05-03",P1,李航,MRP-202605-0039,"2026-05-03",已下达
PRID-000023,PR-202605-0023,PRID-000023-1,COMP-FC-CASE-AL-IND,工业级铝合金外壳,自制,460.0,套,"2026-05-01",P2,周宁,MRP-202605-0040,"2026-05-01",已审核
PRID-000024,PR-202605-0024,PRID-000024-1,PART-MOTOR-4114-400KV,"4114 400KV高扭矩电机",外购,2622.0,个,"2026-05-01",P3,陈璐,MRP-202605-0041,"2026-05-01",已审核
PRID-000025,PR-202605-0025,PRID-000025-1,PART-ESC-50A-FOC,"50A FOC电调",外购,2760.0,个,"2026-05-03",P1,李航,MRP-202605-0042,"2026-05-03",已审核
PRID-000026,PR-202605-0026,PRID-000026-1,PART-PROP-1755-CF,"1755碳纤维螺旋桨",外购,2622.0,副,"2026-05-03",P2,周宁,MRP-202605-0043,"2026-05-03",已审核
PRID-000027,PR-202605-0027,PRID-000027-1,PART-CABLE-ESC-HD,加强型电调线,外购,2622.0,根,"2026-05-01",P3,陈璐,MRP-202605-0044,"2026-05-01",已审核
PRID-000028,PR-202605-0028,PRID-000028-1,RAW-LIPO-CELL,锂聚合物电芯,外购,1104.0,千克,"2026-05-02",P1,李航,MRP-202605-0045,"2026-05-02",已审核
PRID-000029,PR-202605-0029,PRID-000029-1,PART-MCU-STM32H753,STM32H753双核芯片,外购,437.0,颗,"2026-05-03",P2,周宁,MRP-202605-0046,"2026-05-03",已下达
PRID-000030,PR-202605-0030,PRID-000030-1,PART-PCB-FC-8L,"8层飞控PCB板",外购,437.0,块,"2026-05-01",P3,陈璐,MRP-202605-0047,"2026-05-01",已审核
PRID-000031,PR-202605-0031,PRID-000031-1,PART-FPGA-ICE40,ICE40 FPGA,外购,437.0,颗,"2026-05-02",P1,李航,MRP-202605-0048,"2026-05-02",已审核
PRID-000032,PR-202605-0032,PRID-000032-1,PART-CONN-GH-1.25-10P,GH1.25 10PIN连接器,外购,1748.0,个,"2026-05-02",P2,周宁,MRP-202605-0049,"2026-05-02",已审核
PRID-000033,PR-202605-0033,PRID-000033-1,RAW-NEODYMIUM,钕铁硼磁性材料,外购,118.0,千克,"2026-05-01",P3,陈璐,MRP-202605-0050,"2026-05-01",已审核
