"procurement_id","procurement_number","procurement_date","supplier_id","supplier_code","supplier_name","material_id","material_code","material_name","warehouse_id","warehouse_name","quantity","unit_price","total_amount","currency","tax_rate","payment_terms","logistics_provider","tracking_number","ship_date","estimated_delivery_date","actual_delivery_date","inspection_status","notes","created_date","status","po_number","delivery_batch","total_batches"
PR0000001,GR-202604-0338,"2026-04-03",SUP-028,SUP-028,台州塑料注塑成型公司,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,东莞天翼电子材料仓库,927,5310.69,4923009.63,CNY,0.13,月结60天,韵达快递,LOG20230306382137,"2026-04-10","2026-04-13","2026-04-15",已验收,需加急处理,"2025-03-05",Active,PO-202604-0143,"",""
PR0000002,GR-202604-0216,"2026-04-03",SUP-028,SUP-028,台州塑料注塑成型公司,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,东莞天翼电子材料仓库,712,4531.9,3226712.8,CNY,0.13,月结60天,韵达快递,LOG20230225457342,"2026-04-10","2026-04-13","2026-04-15",待验收,"","2025-02-22",Active,PO-202604-0143,"",""
PR0000003,GR-202604-0325,"2026-04-03",SUP-028,SUP-028,台州塑料注塑成型公司,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,东莞天翼电子材料仓库,913,4724.13,4313130.69,CNY,0.13,月结60天,中铁快运,LOG20230302938208,"2026-04-10","2026-04-13","2026-04-15",已验收,"","2025-03-01",Active,PO-202604-0143,"",""
PR0000004,GR-202604-0341,"2026-04-03",SUP-028,SUP-028,台州塑料注塑成型公司,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,东莞天翼电子材料仓库,818,4861.4,3976625.2,CNY,0.13,月结60天,京东物流,LOG20230314114334,"2026-04-10","2026-04-13","2026-04-15",验收中,"","2025-03-11",Active,PO-202604-0143,"",""
PR0000005,GR-202604-0167,"2026-04-03",SUP-002,SUP-002,德州仪器（TI）中国代理,M0002,ASSY-FC-BASIC,基础飞控总成,WH002,东莞天翼电子材料仓库,1605,1190.84,1911298.2,CNY,0.13,月结45天,中通快递,LOG20230119495481,"2026-04-10","2026-04-13","2026-04-15",已验收,"","2025-01-17",Active,PO-202604-0129,"",""
PR0000006,GR-202604-0140,"2026-04-03",SUP-002,SUP-002,德州仪器（TI）中国代理,M0002,ASSY-FC-BASIC,基础飞控总成,WH002,东莞天翼电子材料仓库,1624,1188.56,1930221.44,CNY,0.13,月结45天,百世快递,LOG20230122407816,"2026-04-10","2026-04-13","2026-04-15",已验收,"","2025-01-21",Active,PO-202604-0129,"",""
PR0000007,GR-202604-0181,"2026-04-03",SUP-002,SUP-002,德州仪器（TI）中国代理,M0002,ASSY-FC-BASIC,基础飞控总成,WH002,东莞天翼电子材料仓库,514,1182.15,607625.1,CNY,0.13,月结45天,百世快递,LOG20230127694388,"2026-04-10","2026-04-13","2026-04-15",已验收,"","2025-01-26",Active,PO-202604-0129,"",""
PR0000008,GR-202604-0073,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0003,PART-CAM-FIX-12MP,"1200万像素固定相机",WH002,东莞天翼电子材料仓库,262,4012.63,1051309.06,CNY,0.13,月结30天,申通快递,LOG20221220621229,"2026-04-11","2026-04-14","2026-04-16",待验收,"","2025-12-17",Active,PO-202604-0111,"",""
PR0000009,GR-202604-0082,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0003,PART-CAM-FIX-12MP,"1200万像素固定相机",WH002,东莞天翼电子材料仓库,330,4002.82,1320930.6,CNY,0.13,月结30天,圆通速递,LOG20221228366356,"2026-04-11","2026-04-14","2026-04-16",验收中,"","2025-12-27",Active,PO-202604-0111,"",""
PR0000010,GR-202604-0163,"2026-04-04",SUP-021,SUP-021,索尼半导体解决方案,M0003,PART-CAM-FIX-12MP,"1200万像素固定相机",WH002,东莞天翼电子材料仓库,229,3512.81,804433.49,CNY,0.13,月结30天,顺丰速运,LOG20230106697465,"2026-04-11","2026-04-14","2026-04-16",已验收,"","2025-01-04",Active,PO-202604-0111,"",""
PR0000011,GR-202604-0346,"2026-04-02",SUP-011,SUP-011,T-Motor无刷电机有限公司,M0004,ASSY-PWR-STD,标准动力系统总成,WH002,东莞天翼电子材料仓库,1616,4292.6,6936841.6,USD,0.13,月结30天,顺丰速运,LOG20230404143871,"2026-04-09","2026-04-12","2026-04-14",已验收,"","2025-04-01",Active,PO-202604-0169,"",""
