"shipment_id","shipment_number","shipment_date","warehouse_id","warehouse_name","quantity","consignee","consignee_phone","delivery_address","logistics_provider","tracking_number","actual_delivery_date","delivery_status","sales_order_number","notes","created_date","status","customer_id"
SH0000001,SH-202305-0001,"2025-05-26",WH001,深圳天翼中央成品仓库,58.0,南京云仓配送科技有限公司,"13934877544",重庆市重庆市,百世快递,SF20230526194360,"",运输中,SO-202304-00413,客户预约收货,"2025-05-26",InTransit,"10067"
SH0000002,SH-202305-0002,"2025-05-26",WH001,深圳天翼中央成品仓库,41.0,沈阳华能能源有限公司,"13567934946",四川省德阳市,德邦物流,SF20230526537141,"2025-05-28",已签收,SO-202304-00371,项目现场签收,"2025-05-26",Closed,"10059"
SH0000003,SH-202305-0003,"2025-05-06",WH001,深圳天翼中央成品仓库,21.0,青岛物流通配送集团有限公司,"18542017473",山东省烟台市,圆通速递,SF20230506329832,"2025-05-10",已签收,SO-202303-00143,整批签收完成,"2025-05-06",Closed,"10023"
SH0000004,SH-202305-0004,"2025-05-17",WH001,深圳天翼中央成品仓库,5.0,大连安控警用装备有限公司,"13697351249",重庆市重庆市,德邦物流,SF20230517928267,"2025-05-23",已签收,SO-202404-00124,客户验收通过,"2025-05-17",Closed,"10021"
SH0000006,SH-202305-0006,"2025-05-11",WH001,深圳天翼中央成品仓库,33.0,西安沃土植保科技有限公司,"18627022886",重庆市重庆市,中通快递,SF20230511175333,"",已发货,SO-202303-00047,待客户签收回单,"2025-05-11",Active,"10008"
SH0000007,SH-202305-0007,"2025-05-02",WH001,深圳天翼中央成品仓库,41.0,杭州太平洋保险财产保险支公司,"13624376110",辽宁省沈阳市,京东物流,SF20230502562584,"2025-05-07",已签收,SO-202403-00038,整批签收完成,"2025-05-02",Closed,"10007"
SH0000008,SH-202305-0008,"2025-05-03",WH001,深圳天翼中央成品仓库,8.0,沈阳地信勘测工程有限公司,"13536652431",福建省福州市,顺丰速运,SF20230503976322,"2025-05-05",已签收,SO-202303-00196,客户验收通过,"2025-05-03",Closed,"10030"
SH0000009,SH-202305-0009,"2025-05-25",WH001,深圳天翼中央成品仓库,29.0,天津安邦安防服务有限公司,"18082461914",上海市上海市,百世快递,SF20230525702644,"",已发货,SO-202304-00172,分批发货-首批,"2025-05-25",Active,"10027"
SH0000010,SH-202305-0010,"2025-05-09",WH001,深圳天翼中央成品仓库,35.0,深圳景区管理文化旅游有限公司,"13621769629",陕西省西安市,申通快递,SF20230509245065,"2025-05-14",已签收,SO-202404-00145,项目现场签收,"2025-05-09",Closed,"10023"
SH0000011,SH-202305-0011,"2025-05-18",WH001,深圳天翼中央成品仓库,41.0,上海沃土农资技术有限公司,"18844079627",湖北省襄阳市,中通快递,SF20230518175218,"",运输中,SO-202404-00233,收货窗口待确认,"2025-05-18",InTransit,"10035"
