"production_order_id","production_order_number","output_type","output_id","output_code","output_name","production_quantity","factory_id","factory_name","production_line","process_sequence","planned_start_date","planned_finish_date","work_order_status","priority","created_date","status","sourcebillnumber"
PO0000007,MO-202305001,Product,P0001,UAV-XF-BASIC,旋风基础版整机,"1127",FAC001,深圳天翼无人机总装厂,总装线A,"100","2026-04-02","2026-04-12",已完工,高,"2025-05-04",Closed,MRP-202604-0001
PO0000014,MO-202305002,Product,P0002,UAV-XF-BASIC-PLUS,UAV-XF-BASIC-PLUS,"1179",FAC001,深圳天翼无人机总装厂,总装线A,"100","2026-04-02","2026-04-14",已完工,高,"2025-05-09",Closed,MRP-202604-0001
PO0000022,MO-202305003,Product,P0003,UAV-XF-PRO-A,UAV-XF-PRO-A,"457",FAC001,深圳天翼无人机总装厂,总装线B,"100","2026-04-02","2026-04-04",已完工,高,"2025-05-05",Closed,MRP-202604-0001
PO0000030,MO-202305004,Product,P0004,UAV-XF-PRO-B,UAV-XF-PRO-B,"426",FAC001,深圳天翼无人机总装厂,总装线B,"100","2026-04-02","2026-04-13",已完工,高,"2025-05-18",Closed,MRP-202604-0001
PO0000038,MO-202305005,Product,P0005,UAV-XF-PRO-C,UAV-XF-PRO-C,"551",FAC001,深圳天翼无人机总装厂,总装线C,"100","2026-04-02","2026-05-01",已完工,高,"2025-05-14",Closed,MRP-202604-0001
PO0000047,MO-202305006,Product,P0006,UAV-JF-ENT-AG,极风农业版整机,"83",FAC001,深圳天翼无人机总装厂,总装线A,"100","2026-04-02","2026-04-03",已完工,中,"2025-05-03",Closed,MRP-202604-0001
PO0000055,MO-202305007,Product,P0007,UAV-JF-ENT-SV,UAV-JF-ENT-SV,"109",FAC001,深圳天翼无人机总装厂,总装线A,"100","2026-04-02","2026-05-16",已完工,中,"2025-05-17",Closed,MRP-202604-0001
PO0000064,MO-202305008,Product,P0008,UAV-JF-ENT-SC,UAV-JF-ENT-SC,"83",FAC001,深圳天翼无人机总装厂,总装线C,"100","2026-04-02","2026-04-04",已完工,中,"2025-05-18",Closed,MRP-202604-0001
PO0000073,MO-202305009,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,"119",FAC001,深圳天翼无人机总装厂,总装线B,"100","2026-04-02","2026-05-05",已完工,中,"2025-05-14",Closed,MRP-202604-0001
PO0000084,MO-202305010,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,"107",FAC001,深圳天翼无人机总装厂,总装线C,"100","2026-04-02","2026-04-03",已完工,中,"2025-05-19",Closed,MRP-202604-0001
PO0000085,MO-202604-0085,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,"247",FAC003,深圳天翼飞控电子厂,飞控组装线,"100","2026-04-01","2026-04-17",生产中,高,"2026-03-30",Active,MRP-202604-0002
PO0000086,MO-202604-0086,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,"273",FAC004,东莞天翼动力系统厂,动力总成线,"100","2026-04-02","2026-04-20",已下达,高,"2026-03-30",Active,MRP-202604-0004
PO0000087,MO-202605-0087,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,"483",FAC003,深圳天翼飞控电子厂,飞控组装线,"100","2026-05-01","2026-05-19",已完工,中,"2026-03-30",Closed,MRP-202605-0029
PO0000088,MO-202605-0088,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,"460",FAC004,东莞天翼动力系统厂,动力总成线,"100","2026-05-02","2026-05-20",已完工,高,"2026-03-30",Closed,MRP-202605-0031
PO0000089,MO-202604-0089,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,"247",FAC003,深圳天翼飞控电子厂,飞控组装线,"100","2026-04-01","2026-04-17",生产中,中,"2026-03-30",Active,MRP-202604-0002
PO0000090,MO-202605-0090,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,"570",FAC003,深圳天翼飞控电子厂,飞控组装线,"100","2026-05-01","2026-05-19",已下达,高,"2026-03-30",Active,MRP-202605-0029
